ID,Name,Description,Email,Phone,Amount
1,dsfgf,Activity unit,dgfsfg@gmail.com,9.46E+13,1.23E+15
2,xyz1,Rolling mean employees,dfsd@gmail.com,9.15E+12,1.23E+15
3,xyz2,Salaries and wages paid,drgdth@gmail.com,94534635633,1.23E+15
4,dsvgs,"Sales, government funding, grants and subsidies",hthfgtth@gmail.com,94534635633,1.23E+15
5,xyz4,Total income,3456tr@gmail.com,94534635633,1.23E+15
6,xyz5,Total expenditure,dsgdfg@gmail.com,94534635633,1.23E+15
7,dsdf,Operating profit before tax,yiutrhgr@gmail.com,94534635633,1.23E+15
8,xyz8,Total assets,gfdg@gmail.com,94534635633,1.23E+15
9,xyz9,Fixed tangible assets,34565ytr@gmail.com,94534635633,1.23E+15
10,xyz10,Activity unit,sgfgdf@gmail.com,94534635633,1.23E+15
11,zzzz2323241,testing,qetrfw@gmail.com,94534635633,1.23E+15
12,ewrwerwee,testing 2,wrgdr@gmail.com,94534635633,1.23E+15
13,rtt,fgdfg,e5ye@gmail.com,94534635633,1.23E+15
14,dg,ett,trea@gmail.com,94534635633,1.23E+15
15,grgf,dgdg,dgdf@gmail.com,94534635633,1.23E+15
16,rgr,fdsgfsd,dvd@gmail.com,94534635633,1.23E+15
17,fgg,dgdg,cvcv@gmail.com,94534635633,1.23E+15
